Nombre,Edad,Ciudad,Nacionalidad,Fecha_registro,Frontera
Luisa Morales,74,Barranquilla,Ecuador,2025-01-01,Norte de Santander
Ana Martínez,59,Bucaramanga,Ecuador,2025-03-14,Aeropuerto El Dorado
María Lopez,21,Cali$,Ecuador,2023-08-11,La Guajira
Carlos Rodríguez,1,Cúcuta,Ecuador,2021-01-09,La Guajira
Marta Castillo,73,Bogotá,Venezuela,2021-07-28,Aeropuerto El Dorado
Carlos Rodríguez,15,Bucaramanga,Venezuela,2021-11-26,Vichada
Juan Pérez,56,Bucaramanga,Ecuador,2024-01-03,Aeropuerto El Dorado
Carlos Rodríguez,51,Cartagena,Perú,2020-05-08,Aeropuerto El Dorado
Luisa Morales,67,Medellín,Colombia,2023-01-13,Vichada
María Lopez,53,Cali*,Perú,2023-12-17,Arauca
Sofía Torres,71,Bogotá,Venezuela,2021-06-23,Leticia
Sofía Torres,52,Cali,Perú,2020-06-12,Leticia
Pedro Gómez,48,Cartagena,Perú,2023-12-28,Vichada
Marta Castillo,79,Cali,Ecuador,2024-06-12,Norte de Santander
Sofía Torres,2,Barranquilla#,Ecuador,2020-04-11,Vichada
Ana Martínez,34,Cúcuta,Colombia,2021-04-16,Norte de Santander
Andrés Rivera,67,Cali,Venezuela,2020-09-03,Leticia
Luisa Morales,42,Cartagena,Venezuela,2022-07-21,La Guajira
Sofía Torres,57,Cartagena,Colombia,2022-02-14,Arauca
María Lopez,45,Cartagena,Perú,2022-08-04,Aeropuerto El Dorado
Andrés Rivera,11,Bogotá@,Ecuador,2023-10-11,Aeropuerto El Dorado
Jorge Herrera,28,Cali,Perú,2024-11-28,Leticia
María Lopez,60,Cartagena,Perú,2023-02-25,Leticia
Sofía Torres,76,Medellín,Venezuela,2025-09-30,Norte de Santander
María Lopez,71,Medellín$,Perú,2024-04-18,Vichada
Jorge Herrera*,6,Barranquilla,Colombia,2022-02-10,Vichada
Andrés Rivera?,41,Cartagena,Venezuela,2023-01-22,Norte de Santander
Luisa Morales,65,Cali$,Venezuela,2025-08-24,La Guajira
Juan Pérez,32,Barranquilla,Venezuela,2023-12-23,Arauca
Ana Martínez,65,Cartagena?,Perú,2020-03-18,La Guajira
Jorge Herrera,18,Bucaramanga,Colombia,2024-08-24,Vichada
Andrés Rivera,56,Cali,Ecuador,2021-11-02,Arauca
Marta Castillo,22,Cúcuta,Venezuela,2024-10-23,La Guajira
Sofía Torres,41,Bucaramanga,Venezuela,2021-06-12,Vichada
Pedro Gómez,24,Bucaramanga,Venezuela,2021-03-20,Arauca
Sofía Torres,7,Bucaramanga,Colombia,2023-04-16,Norte de Santander
Juan Pérez,13,Medellín,Venezuela,2022-06-13,Vichada
María Lopez,62,Bogotá,Venezuela,2024-01-18,La Guajira
Juan Pérez,49,Barranquilla,Venezuela,2023-08-16,La Guajira
Sofía Torres,70,Cúcuta,Colombia,2024-03-04,Aeropuerto El Dorado
María Lopez,46,Barranquilla,Ecuador,2022-03-01,La Guajira
Luisa Morales,4,Medellín,Venezuela,2020-06-07,Aeropuerto El Dorado
Luisa Morales,54,Bucaramanga,Venezuela,2021-02-03,Arauca
Carlos Rodríguez,64,Cartagena,Ecuador,2024-06-26,Leticia
María Lopez,47,Bogotá,Venezuela,2021-02-22,Vichada
Marta Castillo,55,Cúcuta,Perú,2020-02-02,Norte de Santander
María Lopez,7,Cúcuta,Ecuador,2020-09-15,Norte de Santander
Ana Martínez,22,Medellín,Venezuela,2021-08-29,La Guajira
Carlos Rodríguez,18,Bogotá,Colombia,2025-01-07,Norte de Santander
María Lopez,33,Cali,Perú,2020-06-25,Aeropuerto El Dorado
Luisa Morales,39,Cúcuta,Colombia,2023-08-10,Leticia
Sofía Torres,5,Cali,Ecuador,2020-04-01,La Guajira
Andrés Rivera,7,Medellín,Perú,2022-11-24,Norte de Santander
Pedro Gómez,34,Medellín,Perú,2021-01-20,Aeropuerto El Dorado
Juan Pérez,5,Bucaramanga,Ecuador,2024-09-04,Leticia
Sofía Torres,34,Medellín,Colombia,2025-09-24,Arauca
Marta Castillo,15,Medellín,Colombia,2023-11-23,Norte de Santander
Sofía Torres,24,Medellín,Perú,2025-07-19,Leticia
Pedro Gómez,9,Cali,Perú,2024-12-18,Leticia
Andrés Rivera,25,Medellín,Perú,2021-07-25,Arauca
Luisa Morales,60,Cartagena,Perú,2022-02-20,La Guajira
Juan Pérez@,17,Cúcuta,Venezuela,2020-06-05,Norte de Santander
Carlos Rodríguez,48,Cartagena$,Perú,2024-11-15,Aeropuerto El Dorado
Marta Castillo,26,Cartagena,Ecuador,2020-04-17,Aeropuerto El Dorado
Marta Castillo,12,Cali#,Ecuador,2023-10-06,Vichada%
Jorge Herrera,27,Cartagena,Perú,2020-07-14,Leticia
Pedro Gómez!,51,Barranquilla,Perú,2022-12-24,Vichada
Luisa Morales,56,Bucaramanga!,Colombia,2024-03-17,Norte de Santander$
Carlos Rodríguez,49,Cali,Ecuador,2022-06-07,Norte de Santander
Andrés Rivera,37,Bucaramanga,Perú,2023-11-28,Norte de Santander
Ana Martínez,50,Barranquilla,Ecuador,2022-10-24,Vichada
Andrés Rivera,47,Cúcuta,Perú,2022-02-05,Aeropuerto El Dorado
Ana Martínez,48,Bucaramanga,Venezuela,2020-04-03,Norte de Santander
Sofía Torres,54,Barranquilla,Ecuador,2022-05-08,La Guajira
María Lopez,60,Bucaramanga,Perú,2024-01-08,Vichada
María Lopez*,15,Cúcuta,Venezuela,2020-11-25,La Guajira
Pedro Gómez#,6,Barranquilla,Venezuela,2021-03-05,Arauca
Sofía Torres,53,Cali,Colombia,2025-09-18,La Guajira
Carlos Rodríguez,60,Cartagena$,Perú,2025-04-12,Leticia
Luisa Morales,52,Cartagena,Perú,2025-09-20,Vichada
Marta Castillo,11,Cartagena,Venezuela,2020-10-02,Norte de Santander
Jorge Herrera*,54,Cali,Colombia,2025-05-30,Vichada
Sofía Torres,71,Cartagena,Ecuador,2024-08-20,Vichada
Jorge Herrera,71,Medellín,Ecuador,2020-03-02,Norte de Santander
Pedro Gómez,59,Cali,Colombia,2023-08-27,Norte de Santander
Marta Castillo#,54,Barranquilla,Ecuador,2023-11-03,Arauca
Sofía Torres,5,Bogotá#,Ecuador,2021-07-30,La Guajira
Sofía Torres,13,Bogotá,Venezuela,2025-02-01,Aeropuerto El Dorado
María Lopez,31,Medellín,Colombia,2022-05-09,Aeropuerto El Dorado
Juan Pérez,57,Bucaramanga,Perú,2021-04-12,Arauca
Sofía Torres!,72,Cali,Ecuador,2021-02-22,Leticia
Juan Pérez,47,Cúcuta#,Venezuela,2021-02-09,Aeropuerto El Dorado
Marta Castillo?,64,Cali,Venezuela,2022-04-05,Vichada
Ana Martínez,79,Bogotá,Venezuela,2022-08-18,La Guajira
Sofía Torres,22,Cartagena#,Venezuela,2022-08-17,Norte de Santander
Pedro Gómez,76,Bucaramanga,Venezuela,2021-04-27,Norte de Santander
Jorge Herrera,42,Medellín,Perú,2023-07-18,Vichada
Jorge Herrera,71,Cúcuta,Perú,2025-03-11,Leticia
Sofía Torres,69,Bogotá,Perú,2025-12-01,Vichada
Ana Martínez,69,Medellín,Colombia,2021-02-04,Leticia
Ana Martínez,72,Bogotá,Perú,2021-08-17,Leticia
María Lopez,19,Bucaramanga,Perú,2022-02-28,Vichada
Jorge Herrera,77,Bogotá,Colombia,2020-06-04,Aeropuerto El Dorado
Juan Pérez,47,Bogotá,Ecuador,2024-11-08,Leticia
Andrés Rivera,4,Cúcuta,Venezuela,2025-09-10,Leticia
Marta Castillo,70,Cali,Ecuador,2024-12-10,Aeropuerto El Dorado
Ana Martínez,55,Bogotá,Colombia,2023-12-26,Vichada
Jorge Herrera,52,Bogotá@,Perú,2020-04-15,La Guajira
Ana Martínez,4,Cúcuta,Ecuador,2020-10-31,Leticia
Juan Pérez,37,Cali,Ecuador,2024-03-17,Arauca
Marta Castillo,72,Cali,Colombia,2022-01-10,Norte de Santander
Sofía Torres,2,Bogotá,Colombia,2022-05-29,Leticia
Ana Martínez?,65,Barranquilla,Ecuador,2023-10-10,La Guajira
Luisa Morales,6,Cúcuta@,Colombia,2020-04-06,Leticia
Marta Castillo,18,Cartagena?,Colombia,2021-08-14,Aeropuerto El Dorado
Jorge Herrera,37,Cúcuta,Colombia,2023-04-09,Aeropuerto El Dorado
Jorge Herrera,77,Bogotá,Ecuador,2023-01-04,Leticia
Marta Castillo,72,Cali,Perú,2024-04-04,La Guajira
Andrés Rivera,41,Cartagena,Ecuador,2022-03-29,Aeropuerto El Dorado
Carlos Rodríguez,38,Cúcuta,Perú,2025-10-07,Arauca
Sofía Torres,8,Bucaramanga,Colombia,2022-09-21,Vichada
Ana Martínez,55,Cartagena,Colombia,2023-09-30,Aeropuerto El Dorado
Marta Castillo$,43,Cúcuta#,Ecuador,2022-11-04,La Guajira
Andrés Rivera,24,Cali$,Colombia,2022-04-21,Leticia
Marta Castillo,49,Bucaramanga,Venezuela,2020-01-04,Norte de Santander
Jorge Herrera,1,Barranquilla,Colombia,2024-11-11,La Guajira
Andrés Rivera,10,Cartagena,Colombia,2021-12-26,Arauca
Ana Martínez,26,Bogotá,Perú,2023-02-14,Leticia
Pedro Gómez,47,Bogotá,Perú,2021-11-29,Aeropuerto El Dorado
Sofía Torres,40,Bogotá,Perú,2023-05-28,Aeropuerto El Dorado
Andrés Rivera,56,Barranquilla,Venezuela,2022-06-23,Vichada
Luisa Morales,50,Bucaramanga,Perú,2021-07-22,La Guajira
Marta Castillo,52,Cúcuta,Venezuela,2020-12-14,Norte de Santander
Andrés Rivera,17,Cúcuta,Ecuador,2021-04-29,La Guajira
Juan Pérez,59,Medellín,Perú,2021-12-23,Norte de Santander
Jorge Herrera,76,Cartagena,Colombia,2024-09-21,Leticia
Luisa Morales,73,Bogotá,Perú,2022-05-21,La Guajira
Ana Martínez*,43,Bucaramanga,Colombia,2024-03-10,Vichada
Juan Pérez,70,Cartagena,Perú,2023-01-09,Leticia
Carlos Rodríguez,63,Bogotá?,Ecuador,2022-07-13,Aeropuerto El Dorado
Juan Pérez,39,Cartagena,Venezuela,2023-06-28,Aeropuerto El Dorado
Ana Martínez,58,Bogotá,Ecuador,2020-08-04,Leticia
Marta Castillo#,41,Cartagena,Perú,2020-02-13,Arauca
Jorge Herrera,23,Medellín,Ecuador,2022-07-30,Norte de Santander
María Lopez,68,Cúcuta,Colombia,2025-06-20,La Guajira
Jorge Herrera,55,Barranquilla,Perú,2025-03-13,Aeropuerto El Dorado
Luisa Morales,18,Cartagena,Colombia,2025-05-06,Arauca
María Lopez,53,Cartagena,Colombia,2023-01-25,Leticia
Pedro Gómez,33,Medellín,Perú,2023-08-09,Vichada
Juan Pérez,1,Bucaramanga,Ecuador,2023-03-10,Vichada
Luisa Morales,53,Barranquilla,Perú,2023-09-17,Aeropuerto El Dorado
Juan Pérez,6,Cartagena,Venezuela,2020-01-10,Aeropuerto El Dorado
Carlos Rodríguez,30,Cúcuta,Colombia,2024-03-19,La Guajira
Carlos Rodríguez@,24,Cartagena,Colombia,2020-03-07,Aeropuerto El Dorado
Sofía Torres,46,Cali,Colombia,2020-08-25,Leticia
María Lopez,55,Bucaramanga,Perú,2020-03-18,La Guajira
Luisa Morales!,41,Cúcuta!,Venezuela,2022-11-04,Leticia
María Lopez,7,Cartagena,Ecuador,2020-08-30,La Guajira
Pedro Gómez,6,Cúcuta,Ecuador,2023-11-11,Norte de Santander
Jorge Herrera,41,Cúcuta*,Venezuela,2020-07-14,Vichada
María Lopez,40,Medellín,Venezuela,2023-12-13,Vichada
Andrés Rivera,37,Cali?,Perú,2020-09-01,Vichada
Marta Castillo,57,Bucaramanga,Perú,2020-11-16,La Guajira
María Lopez,5,Cúcuta*,Ecuador,2023-08-29,Arauca
Luisa Morales,39,Barranquilla,Venezuela,2020-12-02,La Guajira
Sofía Torres,14,Cali,Perú,2024-02-08,Vichada
Carlos Rodríguez,67,Cali,Colombia,2023-12-05,Leticia
Ana Martínez,40,Cartagena,Ecuador,2021-09-03,Aeropuerto El Dorado
Carlos Rodríguez,29,Cali,Ecuador,2020-06-07,Norte de Santander
Carlos Rodríguez,26,Medellín#,Ecuador,2023-03-01,La Guajira
Sofía Torres#,7,Bucaramanga,Perú,2022-12-07,La Guajira
Marta Castillo,47,Cúcuta,Perú,2023-10-17,Vichada
Andrés Rivera,19,Cartagena,Venezuela,2020-01-22,Aeropuerto El Dorado
Jorge Herrera,34,Bogotá,Ecuador,2023-09-15,Arauca
Sofía Torres,31,Bogotá,Ecuador,2020-09-07,Aeropuerto El Dorado
Juan Pérez,38,Bucaramanga,Ecuador,2024-09-17,Norte de Santander
Ana Martínez,52,Bucaramanga,Perú,2021-03-24,Arauca
Pedro Gómez,22,Cúcuta,Colombia,2025-01-27,Vichada
María Lopez,57,Cali,Colombia,2024-04-05,Arauca
Andrés Rivera,47,Bogotá,Colombia,2022-09-17,Norte de Santander
Carlos Rodríguez,27,Bogotá,Ecuador,2022-02-15,Vichada
Sofía Torres,61,Cartagena,Perú,2020-04-24,La Guajira
Carlos Rodríguez,35,Bogotá,Venezuela,2020-08-17,La Guajira
Andrés Rivera,13,Bucaramanga#,Perú,2023-04-14,Vichada
Carlos Rodríguez,36,Cartagena,Venezuela,2020-04-24,Leticia
Sofía Torres,56,Cúcuta,Perú,2022-03-10,Aeropuerto El Dorado
Luisa Morales,10,Medellín,Perú,2023-05-31,Vichada
Jorge Herrera,9,Cúcuta,Venezuela,2020-11-17,La Guajira
Ana Martínez,34,Bogotá,Venezuela,2023-10-14,Vichada
Ana Martínez,29,Cúcuta,Ecuador,2025-12-26,Norte de Santander
María Lopez,51,Cali,Venezuela,2021-06-07,Norte de Santander
Luisa Morales,41,Cartagena,Venezuela,2021-05-19,Aeropuerto El Dorado
Juan Pérez,43,Cúcuta,Ecuador,2024-07-05,Aeropuerto El Dorado
Luisa Morales@,30,Barranquilla,Ecuador,2025-11-09,Leticia
María Lopez,40,Bogotá,Ecuador,2021-03-01,Leticia
Sofía Torres,72,Bogotá,Ecuador,2023-01-23,Aeropuerto El Dorado
Luisa Morales,28,Bogotá,Colombia,2025-08-21,Arauca
Sofía Torres,24,Barranquilla,Colombia,2020-02-26,Arauca
Jorge Herrera,4,Bucaramanga,Colombia,2022-03-05,Vichada
María Lopez,68,Bucaramanga$,Venezuela,2022-01-07,Aeropuerto El Dorado
Jorge Herrera,69,Barranquilla,Ecuador,2024-07-09,Leticia
Carlos Rodríguez,23,Bogotá,Venezuela,2025-10-20,Arauca
Jorge Herrera,43,Bucaramanga,Venezuela,2022-02-24,Arauca
Andrés Rivera,16,Cúcuta,Perú,2023-05-10,La Guajira
Juan Pérez,11,Cali$,Ecuador,2025-12-13,Arauca
Marta Castillo,44,Cúcuta,Ecuador,2023-08-19,Norte de Santander
Luisa Morales!,28,Cartagena,Ecuador,2020-06-23,Arauca
Andrés Rivera,80,Bogotá,Perú,2022-03-26,Leticia
Sofía Torres,9,Medellín,Venezuela,2021-06-25,Leticia
Sofía Torres,41,Medellín$,Perú,2024-01-02,Arauca
María Lopez,52,Bogotá%,Ecuador,2023-03-12,Leticia
Pedro Gómez,79,Medellín,Colombia,2022-07-30,Arauca
Luisa Morales,35,Medellín,Ecuador,2020-08-18,Leticia
María Lopez,33,Cartagena,Venezuela,2023-06-16,Norte de Santander
Juan Pérez,32,Bogotá,Perú,2022-08-02,Leticia
Ana Martínez,61,Bucaramanga,Ecuador,2021-03-12,La Guajira
Ana Martínez,39,Bogotá,Ecuador,2025-07-02,Norte de Santander
Jorge Herrera,40,Cartagena,Venezuela,2022-06-22,La Guajira
Carlos Rodríguez,49,Cúcuta,Colombia,2021-05-13,Aeropuerto El Dorado
Marta Castillo,48,Bogotá,Colombia,2022-03-07,Arauca
Juan Pérez,22,Bucaramanga,Colombia,2023-04-11,Aeropuerto El Dorado
Andrés Rivera,24,Bucaramanga,Colombia,2025-02-15,Leticia
Jorge Herrera?,74,Cúcuta,Colombia,2020-12-21,Aeropuerto El Dorado
María Lopez,73,Barranquilla,Perú,2021-01-31,Aeropuerto El Dorado
Marta Castillo,6,Cali,Colombia,2023-05-06,Arauca
Marta Castillo,80,Cali,Venezuela,2025-02-07,Leticia
Carlos Rodríguez,77,Barranquilla,Venezuela,2021-07-31,Arauca
Pedro Gómez,60,Bogotá,Ecuador,2022-07-28,Leticia
Andrés Rivera,25,Cúcuta!,Perú,2022-02-09,Norte de Santander
Ana Martínez,70,Cartagena,Venezuela,2022-03-20,La Guajira
Marta Castillo,46,Barranquilla,Colombia,2023-02-02,Leticia
Marta Castillo*,15,Bucaramanga,Perú,2025-03-30,Arauca
Marta Castillo,35,Barranquilla?,Venezuela,2022-01-02,Norte de Santander
Carlos Rodríguez,24,Bucaramanga,Colombia,2024-12-21,Vichada
Jorge Herrera,2,Barranquilla,Ecuador,2022-10-08,Norte de Santander
Luisa Morales,51,Bogotá,Colombia,2022-12-26,Norte de Santander
María Lopez,43,Bogotá,Venezuela,2025-05-09,Aeropuerto El Dorado
Andrés Rivera*,27,Medellín,Ecuador,2023-06-26,Leticia
Luisa Morales,64,Cartagena,Ecuador,2020-09-27,Arauca
Pedro Gómez,50,Bogotá,Venezuela,2024-07-11,Arauca
Luisa Morales,48,Cúcuta,Colombia,2024-09-09,Vichada
Pedro Gómez,79,Cartagena,Ecuador,2025-01-10,Aeropuerto El Dorado
Luisa Morales,53,Medellín,Venezuela,2025-04-12,Norte de Santander
Jorge Herrera,20,Cartagena$,Venezuela,2024-11-03,Arauca
Marta Castillo,9,Barranquilla,Perú,2021-08-29,Vichada
Carlos Rodríguez,72,Cali,Colombia,2023-01-30,Vichada
Ana Martínez,52,Barranquilla,Colombia,2022-07-19,Aeropuerto El Dorado
Ana Martínez,2,Barranquilla,Perú,2020-06-10,Vichada
Carlos Rodríguez,63,Cúcuta,Ecuador,2021-11-20,La Guajira
Juan Pérez,5,Medellín$,Venezuela,2021-08-02,Leticia
Juan Pérez,70,Medellín@,Venezuela,2021-04-13,Arauca
Andrés Rivera,60,Barranquilla,Ecuador,2021-10-02,Arauca
Ana Martínez,76,Medellín,Venezuela,2023-09-16,La Guajira
Jorge Herrera,71,Bogotá,Colombia,2023-05-16,Norte de Santander
Sofía Torres,27,Medellín,Venezuela,2025-01-14,La Guajira
Carlos Rodríguez,66,Medellín,Ecuador,2021-12-14,Aeropuerto El Dorado
Andrés Rivera,50,Medellín,Perú,2022-07-11,Norte de Santander
Ana Martínez,70,Cali,Colombia,2021-04-07,Arauca
Ana Martínez$,6,Bogotá,Ecuador,2024-12-17,Norte de Santander
Ana Martínez,54,Medellín,Colombia,2021-07-05,Norte de Santander
Carlos Rodríguez,59,Cali,Colombia,2022-10-12,La Guajira
Luisa Morales,10,Bogotá,Colombia,2021-12-07,Vichada
Juan Pérez,62,Bogotá,Colombia,2021-02-19,Aeropuerto El Dorado
Marta Castillo,68,Barranquilla,Perú,2022-11-28,Norte de Santander
Ana Martínez,33,Bogotá,Perú,2023-07-14,Norte de Santander
Sofía Torres,8,Medellín,Colombia,2020-10-13,Vichada
Andrés Rivera,71,Cúcuta,Colombia,2020-08-18,Aeropuerto El Dorado
María Lopez,40,Bucaramanga,Colombia,2025-05-25,Vichada
Juan Pérez,33,Cartagena,Perú,2025-10-11,Arauca
Pedro Gómez,80,Medellín,Venezuela,2025-12-12,Aeropuerto El Dorado
Sofía Torres,37,Medellín,Venezuela,2021-08-10,La Guajira
Carlos Rodríguez,68,Bogotá,Colombia,2025-09-13,Leticia
María Lopez,70,Cali,Perú,2021-11-04,Vichada
Juan Pérez,79,Barranquilla,Perú,2020-08-01,Norte de Santander
Sofía Torres,22,Cali,Perú,2021-05-29,Arauca
Carlos Rodríguez,3,Bogotá,Colombia,2024-11-09,La Guajira
Jorge Herrera,63,Bucaramanga,Perú,2023-11-23,La Guajira
Marta Castillo,55,Barranquilla#,Venezuela,2021-08-06,Aeropuerto El Dorado
Ana Martínez,31,Cali,Ecuador,2022-05-24,Vichada
Marta Castillo,20,Barranquilla,Perú,2021-02-13,Leticia
Sofía Torres,7,Cúcuta%,Colombia,2020-11-05,La Guajira
Carlos Rodríguez,4,Bogotá,Colombia,2024-04-27,Leticia
Ana Martínez,65,Medellín,Ecuador,2020-04-19,Norte de Santander
Marta Castillo,16,Bucaramanga,Venezuela,2020-09-02,Leticia
Jorge Herrera,56,Cartagena%,Ecuador,2021-10-18,Vichada
Andrés Rivera,41,Bogotá,Perú,2021-08-23,La Guajira
María Lopez,43,Bogotá,Ecuador,2023-12-02,Vichada
Sofía Torres?,44,Bucaramanga,Perú,2023-05-28,Vichada
Juan Pérez,73,Cali,Colombia,2020-09-30,Arauca
Andrés Rivera,72,Barranquilla,Perú,2021-01-18,La Guajira
Andrés Rivera,57,Cali,Venezuela,2022-11-15,Norte de Santander
Sofía Torres,55,Bucaramanga,Venezuela,2023-07-08,Vichada
Jorge Herrera,57,Bogotá,Perú,2024-04-05,La Guajira
Pedro Gómez,5,Bucaramanga,Colombia,2022-02-02,Leticia
Jorge Herrera,14,Barranquilla@,Venezuela,2020-02-03,Arauca
Ana Martínez,62,Barranquilla,Colombia,2020-06-12,Norte de Santander
María Lopez,6,Bucaramanga,Colombia,2020-06-16,Norte de Santander
María Lopez,29,Cali,Ecuador,2024-01-02,Norte de Santander
Juan Pérez,58,Bogotá,Venezuela,2022-09-14,La Guajira
María Lopez,10,Cúcuta,Ecuador,2025-04-25,La Guajira
Ana Martínez,61,Bogotá,Perú,2025-02-09,Arauca
Andrés Rivera,63,Barranquilla,Ecuador,2020-07-31,La Guajira
Andrés Rivera?,46,Cartagena,Colombia,2021-05-12,Leticia
Pedro Gómez,70,Bogotá,Venezuela,2020-08-18,Aeropuerto El Dorado
María Lopez,27,Bogotá%,Colombia,2024-12-06,Aeropuerto El Dorado
Jorge Herrera,70,Cali,Perú,2021-05-29,Leticia
Carlos Rodríguez,4,Bogotá,Colombia,2021-03-04,Norte de Santander
María Lopez,8,Cartagena,Colombia,2025-04-10,Aeropuerto El Dorado
Ana Martínez,43,Medellín,Colombia,2021-09-09,Leticia
Luisa Morales,52,Cartagena,Ecuador,2021-04-23,Vichada
Juan Pérez$,61,Barranquilla,Ecuador,2021-07-12,Norte de Santander
María Lopez,48,Bucaramanga,Colombia,2023-02-08,Arauca
Jorge Herrera,77,Bogotá,Ecuador,2021-11-09,La Guajira
Luisa Morales$,71,Medellín@,Ecuador,2021-05-27,Norte de Santander
María Lopez?,5,Cali,Ecuador,2020-06-23,La Guajira
María Lopez,10,Cúcuta,Ecuador,2022-12-16,La Guajira
Marta Castillo,69,Barranquilla,Venezuela,2020-09-17,Arauca
Pedro Gómez,76,Cúcuta,Colombia,2024-07-28,Aeropuerto El Dorado
Ana Martínez,73,Cúcuta,Perú,2025-02-23,Arauca
Marta Castillo,10,Cartagena,Ecuador,2021-05-12,Vichada
Juan Pérez,47,Barranquilla,Perú,2021-10-26,Aeropuerto El Dorado
Carlos Rodríguez#,3,Bogotá,Colombia,2022-08-24,Norte de Santander
Andrés Rivera,47,Cali,Venezuela,2024-06-05,Arauca
Andrés Rivera,24,Medellín,Perú,2025-03-02,La Guajira
Juan Pérez,66,Bogotá,Venezuela,2025-05-14,Arauca
Sofía Torres*,10,Cali,Venezuela,2020-09-04,Vichada
Andrés Rivera,3,Cali,Ecuador,2025-11-17,Leticia
Carlos Rodríguez,2,Cali,Colombia,2023-08-23,Leticia
María Lopez,49,Cartagena,Ecuador,2024-02-15,Norte de Santander
Juan Pérez,30,Barranquilla,Venezuela,2023-11-27,Arauca
Jorge Herrera,65,Medellín,Perú,2025-06-30,Aeropuerto El Dorado
Marta Castillo,11,Cartagena,Venezuela,2023-04-07,Vichada
Ana Martínez,79,Cúcuta,Venezuela,2025-03-03,Aeropuerto El Dorado
Juan Pérez,21,Cúcuta,Colombia,2020-09-20,Leticia
Carlos Rodríguez?,34,Cali,Colombia,2022-05-24,Leticia
Sofía Torres,32,Barranquilla,Colombia,2024-12-21,La Guajira
Sofía Torres,64,Medellín?,Perú,2021-12-18,La Guajira
Luisa Morales,38,Cali,Colombia,2020-04-29,Arauca
Sofía Torres,37,Cúcuta,Venezuela,2025-02-20,La Guajira
Pedro Gómez,12,Medellín,Colombia,2024-01-17,Norte de Santander
Carlos Rodríguez?,37,Cúcuta,Venezuela,2025-05-26,Aeropuerto El Dorado
María Lopez,15,Cartagena,Ecuador,2023-10-29,Norte de Santander
Pedro Gómez,48,Barranquilla,Ecuador,2024-04-20,Aeropuerto El Dorado
Andrés Rivera!,20,Bogotá,Venezuela,2024-01-31,Norte de Santander
Juan Pérez,72,Bogotá,Perú,2023-09-04,La Guajira
Juan Pérez,55,Bucaramanga,Venezuela,2020-09-23,La Guajira
Juan Pérez,58,Bogotá,Perú,2020-09-06,Leticia
Andrés Rivera%,28,Medellín,Ecuador,2024-10-21,La Guajira
Carlos Rodríguez,56,Bogotá,Ecuador,2021-06-29,La Guajira
Pedro Gómez,74,Medellín,Ecuador,2023-08-25,Leticia
Andrés Rivera,56,Cali,Venezuela,2022-03-26,La Guajira
Andrés Rivera,64,Barranquilla,Perú,2020-03-25,Arauca
Luisa Morales,60,Barranquilla,Perú,2025-03-12,Arauca
Juan Pérez,66,Barranquilla,Colombia,2022-11-05,Vichada
Marta Castillo,13,Medellín,Colombia,2021-10-15,Aeropuerto El Dorado
María Lopez,59,Medellín,Colombia,2024-09-24,Aeropuerto El Dorado
Ana Martínez,38,Cali,Colombia,2023-05-31,Vichada
María Lopez,47,Cartagena,Colombia,2021-06-22,Leticia
Carlos Rodríguez,8,Cali,Perú,2025-06-22,Arauca
Marta Castillo,10,Bogotá,Venezuela,2024-08-12,Aeropuerto El Dorado
Pedro Gómez,39,Cúcuta,Venezuela,2024-12-02,Leticia
Luisa Morales,45,Medellín,Colombia,2022-09-19,Vichada
Pedro Gómez,80,Bucaramanga,Ecuador,2020-11-07,Arauca
Carlos Rodríguez,2,Medellín,Colombia,2021-12-27,Vichada
Sofía Torres,36,Bucaramanga!,Colombia,2023-06-11,Vichada
Jorge Herrera,63,Bogotá,Venezuela,2022-09-08,Arauca
Carlos Rodríguez,53,Cúcuta,Colombia,2021-03-06,Arauca
María Lopez,66,Cali,Colombia,2025-04-07,Arauca
Ana Martínez,61,Bogotá,Ecuador,2023-04-17,Aeropuerto El Dorado
Marta Castillo,65,Cúcuta*,Ecuador,2024-09-07,Arauca
María Lopez,48,Cali,Venezuela,2025-06-02,Aeropuerto El Dorado
Juan Pérez,78,Bogotá,Ecuador,2024-06-19,Leticia
Sofía Torres,19,Cartagena,Perú,2023-04-21,La Guajira
Andrés Rivera,47,Bucaramanga,Colombia,2022-06-13,La Guajira
Ana Martínez,33,Cúcuta,Venezuela,2020-09-04,Norte de Santander
Juan Pérez,69,Bogotá,Perú,2022-06-26,Aeropuerto El Dorado
Luisa Morales,65,Medellín?,Perú,2024-03-07,Aeropuerto El Dorado
Carlos Rodríguez,55,Cali,Ecuador,2020-11-13,Leticia
Sofía Torres,1,Barranquilla#,Venezuela,2024-02-25,Leticia
Luisa Morales,73,Medellín,Ecuador,2025-02-02,Norte de Santander
Jorge Herrera,16,Medellín,Venezuela,2021-10-04,Arauca
Sofía Torres,47,Cúcuta,Colombia,2022-11-05,Vichada
Luisa Morales,47,Bucaramanga,Venezuela,2021-05-04,La Guajira
Juan Pérez,25,Cali#,Colombia,2025-12-26,Vichada
Ana Martínez,12,Cúcuta,Ecuador,2022-12-13,Norte de Santander
Juan Pérez,55,Barranquilla,Ecuador,2023-02-19,Vichada
Carlos Rodríguez,59,Bucaramanga,Ecuador,2025-05-14,Vichada
Ana Martínez,79,Bogotá,Venezuela,2025-12-09,Leticia
